,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
1065,Balwyn North,8 Cash St,4,h,1740000.0,VB,Jellis,10/09/2016,9.2,3104.0,4.0,2.0,2.0,610.0,Boroondara City Council,-37.7843,145.0891,Southern Metropolitan,7809.0
1067,Balwyn North,7 Grieve St,4,h,2575000.0,PI,Jellis,10/09/2016,9.2,3104.0,4.0,3.0,2.0,657.0,Boroondara City Council,-37.7981,145.0904,Southern Metropolitan,7809.0
1068,Balwyn North,39 Kawarren St,4,h,1388800.0,S,Jellis,10/09/2016,9.2,3104.0,3.0,2.0,1.0,517.0,Boroondara City Council,-37.783,145.0926,Southern Metropolitan,7809.0
1069,Balwyn North,185 Doncaster Rd,4,h,1702000.0,PI,Jellis,10/12/2016,9.2,3104.0,4.0,2.0,2.0,715.0,Boroondara City Council,-37.7943,145.083,Southern Metropolitan,7809.0
1070,Balwyn North,41 Helston St,4,h,1800000.0,VB,Fletchers/One,10/12/2016,9.2,3104.0,4.0,2.0,4.0,587.0,Boroondara City Council,-37.7841,145.0953,Southern Metropolitan,7809.0
1072,Balwyn North,15 Moody St,4,h,2910000.0,S,Marshall,10/12/2016,9.2,3104.0,4.0,3.0,2.0,1070.0,Boroondara City Council,-37.7975,145.0716,Southern Metropolitan,7809.0
1073,Balwyn North,53 Sweyn St,2,h,1400000.0,S,Noel,10/12/2016,9.2,3104.0,2.0,1.0,1.0,694.0,Boroondara City Council,-37.7941,145.1042,Southern Metropolitan,7809.0
1074,Balwyn North,2/11 Winfield Rd,2,t,860000.0,S,hockingstuart,10/12/2016,9.2,3104.0,2.0,2.0,2.0,204.0,Boroondara City Council,-37.8008,145.104,Southern Metropolitan,7809.0
1076,Balwyn North,13 Lucifer St,4,h,1670000.0,SP,Marshall,11/03/2017,9.2,3104.0,4.0,3.0,2.0,689.0,Boroondara City Council,-37.7871,145.0843,Southern Metropolitan,7809.0
1077,Balwyn North,141 Greythorn Rd,5,h,1500000.0,S,hockingstuart,12/06/2016,9.2,3104.0,3.0,1.0,1.0,800.0,Boroondara City Council,-37.8023,145.0976,Southern Metropolitan,7809.0
1078,Balwyn North,23a The Boulevard,5,h,2200000.0,VB,Noel,12/06/2016,9.2,3104.0,5.0,3.0,2.0,900.0,Boroondara City Council,-37.7868,145.0677,Southern Metropolitan,7809.0
1080,Balwyn North,62 Clifton St,4,h,1350000.0,VB,Jellis,12/11/2016,9.2,3104.0,4.0,2.0,2.0,815.0,Boroondara City Council,-37.794,145.1019,Southern Metropolitan,7809.0
1082,Balwyn North,5 Lemon Rd,5,h,2070000.0,SP,Jellis,12/11/2016,9.2,3104.0,5.0,2.0,1.0,1138.0,Boroondara City Council,-37.7928,145.1006,Southern Metropolitan,7809.0
1083,Balwyn North,21 Maud St,3,h,1300000.0,S,Marshall,12/11/2016,9.2,3104.0,3.0,1.0,2.0,464.0,Boroondara City Council,-37.7945,145.0667,Southern Metropolitan,7809.0
1085,Balwyn North,1 Bolinda Rd,3,h,1700000.0,VB,Fletchers,13/08/2016,9.2,3104.0,3.0,2.0,3.0,763.0,Boroondara City Council,-37.7935,145.0865,Southern Metropolitan,7809.0
1086,Balwyn North,35 Corhampton Rd,3,h,1750000.0,VB,Noel,13/08/2016,9.2,3104.0,2.0,1.0,2.0,854.0,Boroondara City Council,-37.7971,145.0672,Southern Metropolitan,7809.0
1087,Balwyn North,151 Bulleen Rd,3,h,980000.0,SP,Fletchers,14/05/2016,9.2,3104.0,3.0,1.0,1.0,542.0,Boroondara City Council,-37.7832,145.0779,Southern Metropolitan,7809.0
1088,Balwyn North,56a Clifton St,3,h,1230000.0,S,Noel,14/05/2016,9.2,3104.0,3.0,3.0,1.0,310.0,Boroondara City Council,-37.7949,145.1014,Southern Metropolitan,7809.0
1090,Balwyn North,2 Tudor Ct,7,h,2600000.0,PI,Barry,14/05/2016,9.2,3104.0,5.0,3.0,3.0,637.0,Boroondara City Council,-37.7898,145.0967,Southern Metropolitan,7809.0
1091,Balwyn North,28 Walnut Rd,4,h,1950000.0,S,Fletchers,14/05/2016,9.2,3104.0,3.0,3.0,2.0,665.0,Boroondara City Council,-37.7889,145.0904,Southern Metropolitan,7809.0
1093,Balwyn North,14 Dumblane St,5,h,1750000.0,PI,RW,15/10/2016,9.2,3104.0,5.0,2.0,2.0,710.0,Boroondara City Council,-37.7907,145.0916,Southern Metropolitan,7809.0
1095,Balwyn North,64 Greythorn Rd,5,h,2000000.0,S,Fletchers,15/10/2016,9.2,3104.0,5.0,2.0,2.0,1002.0,Boroondara City Council,-37.796,145.0984,Southern Metropolitan,7809.0
1096,Balwyn North,42 Maud St,3,h,1480000.0,PI,Jellis,15/10/2016,9.2,3104.0,3.0,1.0,4.0,605.0,Boroondara City Council,-37.7951,145.0696,Southern Metropolitan,7809.0
1098,Balwyn North,11 Stephens St,4,h,3000000.0,PI,Nelson,15/10/2016,9.2,3104.0,4.0,3.0,2.0,1247.0,Boroondara City Council,-37.7964,145.086,Southern Metropolitan,7809.0
1099,Balwyn North,54 Sutton St,3,h,1818000.0,S,Fletchers,15/10/2016,9.2,3104.0,3.0,1.0,1.0,722.0,Boroondara City Council,-37.7956,145.0829,Southern Metropolitan,7809.0
1101,Balwyn North,3 Alpha St,4,h,2170000.0,SP,Fletchers,16/04/2016,9.2,3104.0,4.0,2.0,2.0,1040.0,Boroondara City Council,-37.7992,145.0907,Southern Metropolitan,7809.0
1104,Balwyn North,48 Hosken St,4,h,2525000.0,PI,Jellis,16/04/2016,9.2,3104.0,4.0,2.0,2.0,1235.0,Boroondara City Council,-37.7988,145.089,Southern Metropolitan,7809.0
1106,Balwyn North,17 Stephens St,4,h,3360000.0,S,Assisi,16/04/2016,9.2,3104.0,4.0,3.0,1.0,904.0,Boroondara City Council,-37.797,145.086,Southern Metropolitan,7809.0
1108,Balwyn North,20 Ajax St,4,h,1620000.0,S,Jellis,16/07/2016,9.2,3104.0,4.0,2.0,1.0,654.0,Boroondara City Council,-37.7885,145.0854,Southern Metropolitan,7809.0
1110,Balwyn North,15 Illawarra Rd,3,h,1903000.0,S,Noel,16/07/2016,9.2,3104.0,3.0,1.0,2.0,713.0,Boroondara City Council,-37.7982,145.0816,Southern Metropolitan,7809.0
1113,Balwyn North,45 Woodville St,4,h,1712000.0,S,Fletchers,17/09/2016,9.2,3104.0,3.0,2.0,2.0,639.0,Boroondara City Council,-37.7879,145.0929,Southern Metropolitan,7809.0
1114,Balwyn North,12 Clifton St,4,h,1720000.0,PI,Marshall,18/03/2017,9.2,3104.0,4.0,3.0,2.0,869.0,Boroondara City Council,-37.8002,145.0999,Southern Metropolitan,7809.0
1116,Balwyn North,6 Leicester St,4,h,1670000.0,S,Jellis,18/03/2017,9.2,3104.0,4.0,1.0,4.0,1042.0,Boroondara City Council,-37.7908,145.101,Southern Metropolitan,7809.0
1117,Balwyn North,23 Maud St,2,h,1350000.0,SP,Nelson,18/03/2017,9.2,3104.0,2.0,1.0,2.0,467.0,Boroondara City Council,-37.7945,145.067,Southern Metropolitan,7809.0
1120,Balwyn North,9 Seattle St,4,h,1675000.0,S,Fletchers,18/03/2017,9.2,3104.0,4.0,2.0,2.0,667.0,Boroondara City Council,-37.7835,145.0883,Southern Metropolitan,7809.0
1121,Balwyn North,16 Sylvan St,4,t,1680000.0,S,Noel,18/03/2017,9.2,3104.0,4.0,3.0,1.0,362.0,Boroondara City Council,-37.7987,145.0788,Southern Metropolitan,7809.0
1123,Balwyn North,49 Aylmer St,3,h,1800000.0,PI,hockingstuart,18/06/2016,9.2,3104.0,3.0,1.0,1.0,809.0,Boroondara City Council,-37.7976,145.0684,Southern Metropolitan,7809.0
1125,Balwyn North,14 Hedderwick St,4,h,1550000.0,S,Noel,18/06/2016,9.2,3104.0,4.0,3.0,4.0,707.0,Boroondara City Council,-37.8005,145.0986,Southern Metropolitan,7809.0
1127,Balwyn North,9 Stephens St,5,h,4000000.0,PI,Marshall,18/06/2016,9.2,3104.0,5.0,5.0,4.0,1364.0,Boroondara City Council,-37.7961,145.0859,Southern Metropolitan,7809.0
1129,Balwyn North,31 Tuxen St,3,h,2900000.0,S,Jellis,18/06/2016,9.2,3104.0,4.0,2.0,2.0,917.0,Boroondara City Council,-37.7968,145.0873,Southern Metropolitan,7809.0
1131,Balwyn North,5 Grieve St,4,h,2205000.0,S,Fletchers,19/11/2016,9.2,3104.0,4.0,2.0,2.0,1010.0,Boroondara City Council,-37.7982,145.0903,Southern Metropolitan,7809.0
1134,Balwyn North,2/22 Severn St,3,t,1137000.0,S,Fletchers,19/11/2016,9.2,3104.0,3.0,2.0,2.0,349.0,Boroondara City Council,-37.7955,145.0694,Southern Metropolitan,7809.0
1135,Balwyn North,28 Severn St,3,h,2100000.0,VB,Jellis,19/11/2016,9.2,3104.0,3.0,2.0,3.0,949.0,Boroondara City Council,-37.796,145.0696,Southern Metropolitan,7809.0
1136,Balwyn North,3 Capella St,2,h,1389000.0,S,Jellis,22/05/2016,9.2,3104.0,2.0,1.0,4.0,701.0,Boroondara City Council,-37.7867,145.0718,Southern Metropolitan,7809.0
1137,Balwyn North,3/1 Corhampton Rd,2,h,685000.0,SP,Jellis,22/05/2016,9.2,3104.0,2.0,1.0,1.0,177.0,Boroondara City Council,-37.7935,145.0679,Southern Metropolitan,7809.0
1139,Balwyn North,1 Morris St,6,h,1900000.0,VB,hockingstuart,22/05/2016,9.2,3104.0,6.0,1.0,6.0,691.0,Boroondara City Council,-37.8022,145.0775,Southern Metropolitan,7809.0
1141,Balwyn North,85a Woodville St,3,h,1335000.0,S,Fletchers,22/05/2016,9.2,3104.0,3.0,2.0,2.0,368.0,Boroondara City Council,-37.7846,145.0935,Southern Metropolitan,7809.0
1143,Balwyn North,13 Bernard St,3,h,1600000.0,VB,Marshall,22/08/2016,9.2,3104.0,3.0,2.0,2.0,760.0,Boroondara City Council,-37.7867,145.0797,Southern Metropolitan,7809.0
1144,Balwyn North,4a Corhampton Rd,3,h,1830000.0,S,Fletchers,22/08/2016,9.2,3104.0,3.0,2.0,2.0,493.0,Boroondara City Council,-37.7938,145.0675,Southern Metropolitan,7809.0
1146,Balwyn North,41 Helston St,4,h,1900000.0,VB,One,22/08/2016,9.2,3104.0,4.0,2.0,4.0,587.0,Boroondara City Council,-37.7841,145.0953,Southern Metropolitan,7809.0
1151,Balwyn North,11 Highview Rd,5,h,1500000.0,VB,hockingstuart,23/04/2016,9.2,3104.0,5.0,2.0,2.0,605.0,Boroondara City Council,-37.7832,145.0796,Southern Metropolitan,7809.0
1153,Balwyn North,3/52 Maud St,2,u,735000.0,S,Christopher,23/04/2016,9.2,3104.0,2.0,1.0,1.0,1075.0,Boroondara City Council,-37.7953,145.0712,Southern Metropolitan,7809.0
1156,Balwyn North,3/48 Alpha St,2,u,1040000.0,S,Fletchers,24/09/2016,9.2,3104.0,2.0,1.0,1.0,250.0,Boroondara City Council,-37.7996,145.0959,Southern Metropolitan,7809.0
1159,Balwyn North,66 Almond St,3,h,1520000.0,S,Jellis,25/02/2017,9.2,3104.0,3.0,1.0,2.0,622.0,Boroondara City Council,-37.7882,145.0882,Southern Metropolitan,7809.0
1161,Balwyn North,19 Hedderwick St,4,h,1250000.0,VB,Marshall,25/02/2017,9.2,3104.0,4.0,2.0,2.0,644.0,Boroondara City Council,-37.7997,145.0993,Southern Metropolitan,7809.0
1162,Balwyn North,34 Kawarren St,6,h,1900000.0,S,Fletchers,25/02/2017,9.2,3104.0,6.0,3.0,2.0,808.0,Boroondara City Council,-37.7842,145.0921,Southern Metropolitan,7809.0
1165,Balwyn North,430 Balwyn Rd,5,h,1875000.0,PI,Fletchers,27/06/2016,9.2,3104.0,5.0,3.0,2.0,842.0,Boroondara City Council,-37.7854,145.0869,Southern Metropolitan,7809.0
1167,Balwyn North,43 Helston St,4,h,1530000.0,PI,hockingstuart,27/06/2016,9.2,3104.0,4.0,2.0,2.0,701.0,Boroondara City Council,-37.7839,145.0954,Southern Metropolitan,7809.0
1171,Balwyn North,16 Nevada St,4,h,1700000.0,VB,Jellis,27/06/2016,9.2,3104.0,3.0,2.0,5.0,754.0,Boroondara City Council,-37.786,145.0886,Southern Metropolitan,7809.0
1179,Balwyn North,3/191 Balwyn Rd,3,t,1238000.0,S,Fletchers,27/11/2016,9.2,3104.0,3.0,2.0,2.0,186.0,Boroondara City Council,-37.8028,145.0828,Southern Metropolitan,7809.0
1180,Balwyn North,233 Balwyn Rd,3,h,1320000.0,S,Noel,27/11/2016,9.2,3104.0,3.0,1.0,0.0,635.0,Boroondara City Council,-37.7982,145.0839,Southern Metropolitan,7809.0
1183,Balwyn North,5/133 Maud St,2,u,560000.0,S,hockingstuart,27/11/2016,9.2,3104.0,2.0,1.0,1.0,0.0,Boroondara City Council,-37.7961,145.0808,Southern Metropolitan,7809.0
1184,Balwyn North,11 Milfay Ct,3,h,1651000.0,S,Nelson,27/11/2016,9.2,3104.0,3.0,1.0,2.0,657.0,Boroondara City Council,-37.7895,145.0985,Southern Metropolitan,7809.0
1185,Balwyn North,23A The Boulevard,5,h,1920000.0,S,Marshall,27/11/2016,9.2,3104.0,5.0,3.0,2.0,900.0,Boroondara City Council,-37.7868,145.0677,Southern Metropolitan,7809.0
1186,Balwyn North,123 Winfield Rd,5,h,1560000.0,S,RT,27/11/2016,9.2,3104.0,5.0,2.0,3.0,845.0,Boroondara City Council,-37.7898,145.1021,Southern Metropolitan,7809.0
1187,Balwyn North,30 Abbott St,5,h,1550000.0,VB,Fletchers,28/05/2016,9.2,3104.0,7.0,2.0,0.0,942.0,Boroondara City Council,-37.7923,145.1029,Southern Metropolitan,7809.0
1190,Balwyn North,15 Ellendale St,3,h,1038000.0,S,Christopher,28/05/2016,9.2,3104.0,3.0,2.0,1.0,207.0,Boroondara City Council,-37.7893,145.092,Southern Metropolitan,7809.0
1194,Balwyn North,15 Maughan Pde,5,h,1660000.0,PI,hockingstuart,28/05/2016,9.2,3104.0,4.0,3.0,2.0,737.0,Boroondara City Council,-37.7975,145.0961,Southern Metropolitan,7809.0
1196,Balwyn North,61 Ray Dr,3,h,1260000.0,PI,hockingstuart,28/05/2016,9.2,3104.0,3.0,2.0,2.0,458.0,Boroondara City Council,-37.7908,145.0991,Southern Metropolitan,7809.0
1198,Balwyn North,9 Gildan St,3,h,2000000.0,VB,Kay,28/08/2016,9.2,3104.0,3.0,1.0,2.0,75100.0,Boroondara City Council,-37.8002,145.07,Southern Metropolitan,7809.0
1199,Balwyn North,10 Hood St,4,h,2155000.0,S,Jellis,28/08/2016,9.2,3104.0,4.0,2.0,3.0,620.0,Boroondara City Council,-37.7985,145.0707,Southern Metropolitan,7809.0
1200,Balwyn North,3/8 Severn St,3,h,1225000.0,VB,Fletchers,28/08/2016,9.2,3104.0,3.0,2.0,2.0,282.0,Boroondara City Council,-37.7936,145.0697,Southern Metropolitan,7809.0
1201,Balwyn North,40 Stephens St,4,h,2150000.0,PI,Noel,28/08/2016,9.2,3104.0,4.0,2.0,2.0,730.0,Boroondara City Council,-37.7993,145.0869,Southern Metropolitan,7809.0
1202,Balwyn North,24 Willis St,3,h,1770000.0,PI,Fletchers,28/08/2016,9.2,3104.0,3.0,2.0,1.0,720.0,Boroondara City Council,-37.7938,145.0838,Southern Metropolitan,7809.0
1204,Balwyn North,2/3 Hatfield St,2,u,691500.0,S,Fletchers,30/07/2016,9.2,3104.0,3.0,1.0,1.0,0.0,Boroondara City Council,-37.7938,145.0666,Southern Metropolitan,7809.0
1207,Balwyn North,1 Tovey St,5,h,1836000.0,S,Jellis,30/07/2016,9.2,3104.0,4.0,2.0,2.0,939.0,Boroondara City Council,-37.7998,145.0862,Southern Metropolitan,7809.0
1209,Bentleigh,5/205 Centre Rd,2,u,636000.0,S,hockingstuart,3/09/2016,13.0,3204.0,2.0,1.0,2.0,202.0,Glen Eira City Council,-37.9165,145.0259,Southern Metropolitan,6795.0
1210,Bentleigh,22 Hobart St,2,h,1275000.0,S,Woodards,3/09/2016,13.0,3204.0,2.0,1.0,2.0,599.0,Glen Eira City Council,-37.925,145.046,Southern Metropolitan,6795.0
1211,Bentleigh,1/236 Patterson Rd,3,u,875000.0,S,hockingstuart,3/09/2016,13.0,3204.0,3.0,1.0,2.0,348.0,Glen Eira City Council,-37.9273,145.0479,Southern Metropolitan,6795.0
1213,Bentleigh,2/531 South Rd,3,t,895000.0,PI,Ray,3/09/2016,13.0,3204.0,3.0,2.0,2.0,362.0,Glen Eira City Council,-37.9336,145.043,Southern Metropolitan,6795.0
1215,Bentleigh,32 Leckie St,2,h,1550000.0,S,Woodards,3/12/2016,13.0,3204.0,2.0,1.0,4.0,730.0,Glen Eira City Council,-37.9207,145.0479,Southern Metropolitan,6795.0
1216,Bentleigh,7 Marquis Rd,4,h,1420000.0,S,Woodards,3/12/2016,13.0,3204.0,4.0,1.0,4.0,786.0,Glen Eira City Council,-37.9305,145.0449,Southern Metropolitan,6795.0
1217,Bentleigh,11 Rogers Rd,3,h,1425000.0,S,Buxton,3/12/2016,13.0,3204.0,3.0,2.0,2.0,613.0,Glen Eira City Council,-37.9311,145.0428,Southern Metropolitan,6795.0
1218,Bentleigh,3/2 Scotts St,2,t,851000.0,S,hockingstuart,3/12/2016,13.0,3204.0,2.0,1.0,1.0,140.0,Glen Eira City Council,-37.9204,145.0443,Southern Metropolitan,6795.0
1219,Bentleigh,11A Mortimore St,3,h,1222500.0,S,Ray,4/02/2016,13.0,3204.0,3.0,2.0,2.0,299.0,Glen Eira City Council,-37.9272,145.0406,Southern Metropolitan,6795.0
1224,Bentleigh,127 Tucker Rd,4,h,1260000.0,PI,hockingstuart,4/03/2017,13.0,3204.0,4.0,2.0,2.0,793.0,Glen Eira City Council,-37.9232,145.0502,Southern Metropolitan,6795.0
1226,Bentleigh,37 Godfrey St,4,h,2700000.0,S,hockingstuart,4/06/2016,13.0,3204.0,4.0,3.0,2.0,628.0,Glen Eira City Council,-37.9155,145.0401,Southern Metropolitan,6795.0
1227,Bentleigh,174 Jasper Rd,3,t,900000.0,PI,hockingstuart,4/06/2016,13.0,3204.0,3.0,2.0,1.0,418.0,Glen Eira City Council,-37.9172,145.0421,Southern Metropolitan,6795.0
1228,Bentleigh,15 Miles St,3,h,1100000.0,VB,Buxton,4/06/2016,13.0,3204.0,3.0,2.0,2.0,0.0,Glen Eira City Council,-37.922,145.0302,Southern Metropolitan,6795.0
1229,Bentleigh,143 Patterson Rd,7,h,1005000.0,S,Ray,4/06/2016,13.0,3204.0,7.0,3.0,4.0,607.0,Glen Eira City Council,-37.9269,145.047,Southern Metropolitan,6795.0
1230,Bentleigh,13 Somers St,3,h,1317500.0,S,Buxton,4/06/2016,13.0,3204.0,3.0,1.0,1.0,576.0,Glen Eira City Council,-37.9149,145.0254,Southern Metropolitan,6795.0
1231,Bentleigh,8/11 Brentwood St,2,u,360000.0,PI,Buxton,6/08/2016,13.0,3204.0,2.0,1.0,1.0,0.0,Glen Eira City Council,-37.9332,145.045,Southern Metropolitan,6795.0
1232,Bentleigh,12b Coates St,4,t,1435000.0,S,hockingstuart,6/08/2016,13.0,3204.0,3.0,3.0,2.0,291.0,Glen Eira City Council,-37.9278,145.0337,Southern Metropolitan,6795.0
1234,Bentleigh,156 Patterson Rd,3,h,1110000.0,S,Buxton,6/08/2016,13.0,3204.0,3.0,1.0,2.0,692.0,Glen Eira City Council,-37.9263,145.04,Southern Metropolitan,6795.0
1235,Bentleigh,8 Rose St,4,h,2435000.0,S,Buxton,6/08/2016,13.0,3204.0,3.0,2.0,2.0,795.0,Glen Eira City Council,-37.9166,145.0314,Southern Metropolitan,6795.0
1238,Bentleigh,23 Yawla St,3,h,1500000.0,PI,hockingstuart,7/05/2016,13.0,3204.0,3.0,2.0,1.0,565.0,Glen Eira City Council,-37.9134,145.0263,Southern Metropolitan,6795.0
1239,Bentleigh,39 Luckins Rd,4,h,1300000.0,PI,Buxton,7/11/2016,13.0,3204.0,4.0,2.0,2.0,697.0,Glen Eira City Council,-37.9318,145.0474,Southern Metropolitan,6795.0
1240,Bentleigh,1/19 Patterson Rd,2,h,855000.0,S,Buxton,7/11/2016,13.0,3204.0,2.0,1.0,1.0,298.0,Glen Eira City Council,-37.9247,145.0287,Southern Metropolitan,6795.0
1242,Bentleigh,592 Centre Rd,3,h,1125000.0,S,hockingstuart,8/10/2016,13.0,3204.0,3.0,1.0,2.0,584.0,Glen Eira City Council,-37.9199,145.0477,Southern Metropolitan,6795.0
1244,Bentleigh,32 Luckins Rd,3,h,1135000.0,SP,O'Brien,8/10/2016,13.0,3204.0,3.0,1.0,2.0,627.0,Glen Eira City Council,-37.9321,145.0472,Southern Metropolitan,6795.0
1245,Bentleigh,575 South Rd,3,h,867000.0,S,hockingstuart,8/10/2016,13.0,3204.0,3.0,2.0,1.0,578.0,Glen Eira City Council,-37.9344,145.0481,Southern Metropolitan,6795.0
1247,Bentleigh,74 Fromer St,4,h,1328000.0,S,hockingstuart,10/09/2016,13.0,3204.0,3.0,2.0,2.0,610.0,Glen Eira City Council,-37.9291,145.0472,Southern Metropolitan,6795.0
1248,Bentleigh,4 Gordon St,3,h,1340000.0,S,hockingstuart,10/09/2016,13.0,3204.0,3.0,2.0,1.0,526.0,Glen Eira City Council,-37.9279,145.031,Southern Metropolitan,6795.0
1249,Bentleigh,58 London St,4,t,1155000.0,S,Buxton,10/09/2016,13.0,3204.0,4.0,3.0,2.0,271.0,Glen Eira City Council,-37.9252,145.0494,Southern Metropolitan,6795.0
1251,Bentleigh,182 Patterson Rd,3,h,1275000.0,S,Buxton,10/09/2016,13.0,3204.0,3.0,1.0,4.0,758.0,Glen Eira City Council,-37.9267,145.043,Southern Metropolitan,6795.0
1254,Bentleigh,548 Centre Rd,3,h,770000.0,VB,Woodards,10/12/2016,13.0,3204.0,3.0,2.0,2.0,0.0,Glen Eira City Council,-37.9193,145.0438,Southern Metropolitan,6795.0
1255,Bentleigh,1/30 Daley St,2,h,855000.0,SP,Marshall,10/12/2016,13.0,3204.0,2.0,1.0,1.0,296.0,Glen Eira City Council,-37.9243,145.0376,Southern Metropolitan,6795.0
1256,Bentleigh,1/26 Harding St,3,t,1100000.0,SP,Buxton,10/12/2016,13.0,3204.0,3.0,2.0,2.0,333.0,Glen Eira City Council,-37.9292,145.0341,Southern Metropolitan,6795.0
1258,Bentleigh,13/27 Patterson Rd,2,u,650000.0,SP,hockingstuart,10/12/2016,13.0,3204.0,2.0,1.0,1.0,116.0,Glen Eira City Council,-37.9245,145.0336,Southern Metropolitan,6795.0
1259,Bentleigh,112 Tucker Rd,4,h,1815000.0,S,Buxton,10/12/2016,13.0,3204.0,4.0,2.0,4.0,902.0,Glen Eira City Council,-37.924,145.0504,Southern Metropolitan,6795.0
1260,Bentleigh,9 Yawla St,4,h,2255000.0,S,hockingstuart,10/12/2016,13.0,3204.0,4.0,3.0,2.0,557.0,Glen Eira City Council,-37.9132,145.0251,Southern Metropolitan,6795.0
1261,Bentleigh,66 Fromer St,3,h,1470000.0,S,McGrath,11/02/2017,13.0,3204.0,3.0,2.0,2.0,613.0,Glen Eira City Council,-37.929,145.0464,Southern Metropolitan,6795.0
1263,Bentleigh,10/21 Bent St,2,u,420000.0,PI,Buxton,12/11/2016,13.0,3204.0,2.0,1.0,0.0,1045.0,Glen Eira City Council,-37.9158,145.0379,Southern Metropolitan,6795.0
1265,Bentleigh,2/7 Gordon St,2,u,855000.0,S,hockingstuart,12/11/2016,13.0,3204.0,2.0,2.0,3.0,226.0,Glen Eira City Council,-37.9274,145.031,Southern Metropolitan,6795.0
1268,Bentleigh,11 Somers St,4,h,1450000.0,S,hockingstuart,12/11/2016,13.0,3204.0,4.0,1.0,1.0,567.0,Glen Eira City Council,-37.9149,145.0252,Southern Metropolitan,6795.0
1269,Bentleigh,103 Tucker Rd,3,h,1200000.0,PI,hockingstuart,12/11/2016,13.0,3204.0,3.0,2.0,2.0,590.0,Glen Eira City Council,-37.9256,145.0497,Southern Metropolitan,6795.0
1270,Bentleigh,11 Wheatley Rd,4,h,1860000.0,PI,McGrath,12/11/2016,13.0,3204.0,4.0,2.0,3.0,855.0,Glen Eira City Council,-37.9163,145.0324,Southern Metropolitan,6795.0
1271,Bentleigh,2/15 Jasper Rd,2,u,725000.0,S,hockingstuart,13/08/2016,13.0,3204.0,2.0,1.0,1.0,227.0,Glen Eira City Council,-37.9326,145.0387,Southern Metropolitan,6795.0
1273,Bentleigh,6 Atkinson St,3,h,1293000.0,S,Buxton,15/10/2016,13.0,3204.0,3.0,1.0,1.0,632.0,Glen Eira City Council,-37.9282,145.0367,Southern Metropolitan,6795.0
1275,Bentleigh,38 Leckie St,3,h,1390000.0,S,Buxton,15/10/2016,13.0,3204.0,3.0,1.0,2.0,723.0,Glen Eira City Council,-37.9203,145.048,Southern Metropolitan,6795.0
1276,Bentleigh,15 Luckins Rd,3,h,1400000.0,SP,Buxton,15/10/2016,13.0,3204.0,3.0,2.0,1.0,699.0,Glen Eira City Council,-37.9316,145.0454,Southern Metropolitan,6795.0
1277,Bentleigh,33 Luckins Rd,3,h,1328000.0,S,Woodards,15/10/2016,13.0,3204.0,3.0,2.0,2.0,690.0,Glen Eira City Council,-37.9317,145.0469,Southern Metropolitan,6795.0
1278,Bentleigh,4a Rosina St,4,t,1247000.0,S,hockingstuart,15/10/2016,13.0,3204.0,4.0,2.0,3.0,354.0,Glen Eira City Council,-37.9326,145.0441,Southern Metropolitan,6795.0
1279,Bentleigh,14 Sandra Gr,3,h,1311000.0,S,Buxton,15/10/2016,13.0,3204.0,3.0,2.0,2.0,592.0,Glen Eira City Council,-37.933,145.0466,Southern Metropolitan,6795.0
1280,Bentleigh,4 The Highway,3,h,1100000.0,S,hockingstuart,15/10/2016,13.0,3204.0,3.0,1.0,2.0,382.0,Glen Eira City Council,-37.9187,145.0461,Southern Metropolitan,6795.0
1282,Bentleigh,4 Leckie St,3,h,1327500.0,S,hockingstuart,16/04/2016,13.0,3204.0,3.0,1.0,2.0,700.0,Glen Eira City Council,-37.9228,145.0476,Southern Metropolitan,6795.0
1286,Bentleigh,43 Wavell St,4,h,1560000.0,PI,Buxton,16/04/2016,13.0,3204.0,4.0,3.0,1.0,695.0,Glen Eira City Council,-37.9149,145.0469,Southern Metropolitan,6795.0
1287,Bentleigh,4 Daley St,3,h,1370000.0,S,hockingstuart,16/07/2016,13.0,3204.0,3.0,1.0,2.0,624.0,Glen Eira City Council,-37.9256,145.0374,Southern Metropolitan,6795.0
1288,Bentleigh,145a Jasper Rd,3,h,1100000.0,S,Buxton,16/07/2016,13.0,3204.0,3.0,1.0,2.0,632.0,Glen Eira City Council,-37.921,145.0411,Southern Metropolitan,6795.0
1290,Bentleigh,15 Wilson St,4,h,1385000.0,S,hockingstuart,16/07/2016,13.0,3204.0,4.0,2.0,1.0,576.0,Glen Eira City Council,-37.9152,145.0244,Southern Metropolitan,6795.0
1291,Bentleigh,59b Fromer St,3,t,1275000.0,S,hockingstuart,17/09/2016,13.0,3204.0,3.0,2.0,2.0,309.0,Glen Eira City Council,-37.9287,145.0461,Southern Metropolitan,6795.0
1292,Bentleigh,64 Tucker Rd,3,h,1095000.0,S,Buxton,17/09/2016,13.0,3204.0,3.0,2.0,1.0,581.0,Glen Eira City Council,-37.9286,145.0495,Southern Metropolitan,6795.0
1293,Bentleigh,1/96 Tucker Rd,2,u,797500.0,S,Ray,17/09/2016,13.0,3204.0,2.0,1.0,2.0,321.0,Glen Eira City Council,-37.9257,145.0501,Southern Metropolitan,6795.0
